,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,CheckCD,0,35,0.0,1.4,1.4,0.0,0.0,110.69142857142856
1,Nothing,35,41,1.4,1.64,0.24,0.0,0.0,109.5
2,MapRead,41,144,1.64,5.76,4.12,1.3064,0.20610330097087382,109.01747572815533
3,Nothing,144,235,5.76,9.4,3.6400000000000006,40.7676,0.938217142857143,109.0
4,MapRead,235,332,9.4,13.28,3.879999999999999,12.998400000000004,2.3238956701030924,112.01567010309279
5,Nothing,332,341,13.28,13.64,0.3600000000000012,1.4687999999999946,2.62148,120.32000000000001
6,CheckCD,341,372,13.64,14.88,1.2400000000000002,5.235199999999999,2.802948387096773,122.72
7,Nothing,372,414,14.88,16.56,1.679999999999998,5.844400000000007,2.921027619047619,127.1
8,CheckCD,414,434,16.56,17.36,0.8000000000000007,3.289599999999993,2.967156,130.82
9,Nothing,434,625,17.36,25.0,7.640000000000001,23.399600000000007,3.0950351832460723,146.4276439790576
10,MapRead,625,681,25.0,27.24,2.2399999999999984,5.3847999999999985,3.0723285714285713,156.6357142857143
11,Nothing,681,695,27.24,27.8,0.5600000000000023,1.5511999999999944,2.980999999999999,158.5
12,MapRead,695,811,27.8,32.44,4.639999999999997,11.031200000000013,2.832351724137931,162.16206896551728
13,Nothing,811,838,32.44,33.52,1.0800000000000054,2.980399999999989,2.8179555555555558,166.6888888888889
14,MapRead,838,871,33.52,34.84,1.3200000000000003,3.8495999999999952,2.883363636363636,167.25454545454548
15,Nothing,871,1365,34.84,54.6,19.759999999999998,55.61280000000001,2.7318663967611334,173.97327935222674
16,MapRead,1365,1429,54.6,57.16,2.559999999999995,4.321600000000018,2.431731875,180.215625
17,Nothing,1429,1489,57.16,59.56,2.4000000000000057,4.073599999999971,2.4047746666666674,181.06066666666666
18,CheckCD,1489,1523,59.56,60.92,1.3599999999999994,2.0504000000000246,2.33386,181.92235294117648
19,Nothing,1523,1621,60.92,64.84,3.9200000000000017,8.5916,2.229518775510204,183.52448979591836
20,MapRead,1621,1672,64.84,66.88,2.039999999999992,6.145600000000002,2.168070588235294,184.50666666666666
21,Nothing,1672,1692,66.88,67.68,0.8000000000000114,2.0548,2.1318159999999997,185.26
