,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,Nothing,0,39,0.0,1.56,1.56,1.6608,0.5133333333333334,113.0
1,CheckCD,39,62,1.56,2.48,0.9199999999999999,1.4787999999999997,0.0,113.0
2,MapRead,62,144,2.48,5.76,3.28,9.8804,0.0,111.71756097560976
3,CheckWatch,144,175,5.76,7.0,1.2400000000000002,4.4,0.0,111.97290322580645
4,MapRead,175,201,7.0,8.04,1.0399999999999991,2.613199999999999,0.0,111.5
5,Nothing,201,246,8.04,9.84,1.8000000000000007,3.6983999999999995,0.0,111.73333333333333
6,MapRead,246,355,9.84,14.2,4.359999999999999,2.8344000000000023,0.0,112.38532110091744
7,Nothing,355,556,14.2,22.24,8.04,12.3992,0.15036119402985074,112.52835820895521
8,MapRead,556,566,22.24,22.64,0.40000000000000213,2.192,1.88822,116.84
9,Nothing,566,721,22.64,28.84,6.199999999999999,31.513199999999998,2.541723870967742,121.99483870967742
10,MapRead,721,762,28.84,30.48,1.6400000000000006,7.572400000000002,2.8035912195121955,127.630243902439
11,Nothing,762,946,30.48,37.84,7.360000000000003,37.168800000000005,2.6208084782608694,132.685652173913
12,MapRead,946,952,37.84,38.08,0.23999999999999488,1.1039999999999992,2.6310666666666664,135.8733333333333
13,Nothing,952,1100,38.08,44.0,5.920000000000002,25.324399999999983,2.6517540540540536,138.35108108108108
14,MapRead,1100,1131,44.0,45.24,1.240000000000002,5.41840000000002,2.6984000000000004,140.6
15,Nothing,1131,1183,45.24,47.32,2.0799999999999983,8.63239999999999,2.729361538461539,141.8753846153846
16,MapRead,1183,1205,47.32,48.2,0.8800000000000026,3.9712000000000103,2.750727272727273,142.73999999999998
17,Nothing,1205,1345,48.2,53.8,5.599999999999994,20.145999999999987,2.8434157142857144,145.1071428571429
18,CheckWatch,1345,1361,53.8,54.44,0.6400000000000006,2.4268000000000143,2.9321375,146.0375
19,Nothing,1361,1515,54.44,61.6,7.160000000000004,24.14919999999998,3.0239805194805194,146.20259740259738
20,CheckCD,1515,1539,61.6,62.56,0.9600000000000009,2.740000000000009,3.1827633333333334,147.90833333333333
21,Nothing,1539,1948,62.56,79.92,17.36,55.441599999999994,3.256822591687041,151.45907090464547
22,MapRead,1948,1992,79.92,81.68,1.7600000000000051,4.994399999999985,3.1329309090909097,152.54090909090905
23,Nothing,1992,2004,81.68,82.16,0.47999999999998977,1.608000000000004,3.0837000000000003,152.17999999999998
24,CheckCD,2004,2011,82.16,82.44,0.28000000000000114,0.853999999999985,3.0658400000000006,152.84
25,Nothing,2011,2084,82.44,85.36,2.9200000000000017,7.55800000000005,3.0177183561643837,154.44986301369863
26,MapRead,2084,2127,85.36,87.08,1.7199999999999989,3.960399999999993,2.983866046511628,156.22325581395347
27,CheckWatch,2127,2163,87.08,88.52,1.4399999999999977,3.87560000000002,2.9618733333333336,156.04000000000002
28,Nothing,2163,2265,88.52,92.6,4.079999999999998,11.331999999999994,2.918141960784313,161.20313725490197
29,MapRead,2265,2303,92.6,94.12,1.5200000000000102,3.629599999999982,2.8859926315789464,163.94526315789471
30,Nothing,2303,2373,94.12,96.92,2.799999999999997,6.325199999999995,2.8600000000000008,164.85542857142858
31,MapRead,2373,2424,96.92,98.96,2.039999999999992,5.626800000000003,2.837503529411765,165.0
32,Nothing,2424,2522,98.96,102.88,3.9200000000000017,8.074000000000012,2.794143673469388,164.39795918367346
33,MapRead,2522,2543,102.88,103.72,0.8400000000000034,1.9812000000000012,2.7339714285714285,164.29142857142855
34,Nothing,2543,2674,103.72,108.96,5.239999999999995,9.375999999999976,2.537776183206107,164.6097709923664
35,MapRead,2674,2724,108.96,110.96,2.0,2.7379999999999995,2.2828800000000005,165.9984
36,Nothing,2724,2886,110.96,118.44,7.480000000000004,5.2076000000000136,2.040671851851852,164.07333333333335
37,MapRead,2886,2910,118.44,119.4,0.960000000000008,0.9975999999999772,1.6669999999999998,163.25
38,Nothing,2910,2973,119.4,121.92,2.519999999999996,2.295600000000036,1.5708450793650792,163.36825396825398
39,CheckCD,2973,3016,121.92,123.64,1.7199999999999989,1.9943999999999846,1.3942083720930236,162.34883720930233
