,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,Nothing,0,52,0.0,2.08,2.08,6.0152,0.0,119.29076923076923
1,CheckWatch,52,67,2.08,2.68,0.6000000000000001,0.11399999999999988,0.0,123.08
2,Nothing,67,122,2.68,4.88,2.1999999999999997,2.1087999999999996,0.6154094545454546,125.98981818181814
3,CheckWatch,122,307,4.88,12.28,7.3999999999999995,3.6692,0.29622962162162164,122.77967567567566
4,MapRead,307,316,12.28,12.64,0.3600000000000012,0.08640000000000114,0.0,117.0
5,Nothing,316,370,12.64,15.8,3.16,1.4463999999999988,0.0,115.08148148148146
6,MapRead,370,420,15.8,17.8,2.0,3.6959999999999997,0.0,112.21999999999998
7,Nothing,420,477,17.8,20.08,2.2799999999999976,6.6616000000000035,0.8492315789473683,111.44912280701755
8,MapRead,477,505,20.08,21.2,1.120000000000001,2.9563999999999986,2.153171428571428,110.97142857142858
9,Nothing,505,666,21.2,27.64,6.440000000000001,26.2612,2.493683229813665,118.96024844720496
10,MapRead,666,707,27.64,30.28,2.6400000000000006,11.348400000000005,3.473611707317074,129.90341463414634
11,Nothing,707,735,30.28,31.4,1.1199999999999974,5.054400000000001,3.871382857142858,131.8842857142857
12,MapRead,735,760,31.4,32.4,1.0,5.161999999999992,3.981232,133.68800000000002
13,Nothing,760,1326,32.4,55.04,22.64,99.52,3.559237455830389,137.79717314487635
14,MapRead,1326,1337,55.04,55.48,0.4399999999999977,1.4300000000000068,3.59188,136.0
15,Nothing,1337,1418,55.48,58.72,3.240000000000002,9.8108,3.7029051851851857,136.3841975308642
16,MapRead,1418,1447,58.72,60.76,2.039999999999999,6.512799999999999,3.7400496551724136,136.96137931034482
17,Nothing,1447,1627,60.76,68.08,7.32,23.972399999999993,3.6287857777777774,136.16666666666666
18,MapRead,1627,1628,68.08,68.12,0.04000000000000625,0.15799999999998704,3.54376,137.0
19,Nothing,1628,2097,68.12,86.88,18.75999999999999,43.20440000000002,3.1421521535181234,137.23138592750533
20,MapRead,2097,2143,86.88,88.72,1.8400000000000034,2.9067999999999756,2.799021739130435,137.3582608695652
21,Nothing,2143,2353,88.72,98.12,9.400000000000006,19.102000000000032,2.6007939047619044,137.1672380952381
22,MapRead,2353,2471,98.12,102.84,4.719999999999999,5.3583999999999605,2.3475396610169486,137.5464406779661
23,Nothing,2471,2508,102.84,104.32,1.4799999999999898,2.784400000000062,2.1022324324324324,138.0918918918919
24,MapRead,2508,2524,104.32,104.96,0.6400000000000006,1.4399999999999977,2.071,139.0
25,Nothing,2524,2623,104.96,108.92,3.960000000000008,11.017999999999972,2.371101818181818,137.7866666666667
26,MapRead,2623,2640,108.92,109.6,0.6799999999999926,1.538000000000011,2.7054070588235297,137.25411764705882
27,Nothing,2640,2721,109.6,112.84,3.240000000000009,9.178399999999954,2.646148148148148,136.9530864197531
28,MapRead,2721,2731,112.84,113.24,0.3999999999999915,1.2592000000000212,2.6821200000000003,137.07999999999998
29,Nothing,2731,2979,113.24,124.16,10.920000000000002,31.3784,2.650741612903226,137.7662903225807
30,CheckWatch,2979,3019,124.16,125.76,1.6000000000000085,5.88960000000003,3.1726529999999995,138.427
31,Nothing,3019,3087,125.76,128.48,2.7199999999999847,11.729199999999992,3.5047929411764707,137.73058823529414
32,CheckWatch,3087,3101,128.48,129.04,0.5600000000000023,2.493199999999945,3.6055600000000005,139.0
33,Nothing,3101,3178,129.04,132.12,3.0800000000000125,13.362400000000036,3.725592727272727,138.48207792207793
34,MapRead,3178,3238,132.12,134.52,2.4000000000000057,10.895600000000002,3.9359600000000006,138.83133333333333
35,Nothing,3238,3547,134.52,146.88,12.359999999999985,47.97840000000002,4.005390291262136,141.21928802588997
36,MapRead,3547,3578,146.88,148.12,1.240000000000009,2.8695999999999913,3.661569032258065,143.9716129032258
37,Nothing,3578,3790,148.12,156.6,8.47999999999999,24.665999999999997,3.030178867924529,141.66188679245283
38,CheckWatch,3790,3809,156.6,157.36,0.7600000000000193,2.26279999999997,2.867084210526316,139.95999999999998
39,Nothing,3809,3851,157.36,159.04,1.6799999999999784,5.232400000000041,2.8649999999999998,141.17999999999998
40,MapRead,3851,3912,159.04,161.48,2.4399999999999977,8.120000000000005,2.8862800000000006,142.0
41,Nothing,3912,3924,161.48,161.96,0.4800000000000182,1.411200000000008,2.8734,142.0
42,MapRead,3924,3999,161.96,164.96,3.0,8.341599999999971,2.789989866666667,142.2944
43,Nothing,3999,4168,164.96,171.72,6.759999999999991,20.53800000000001,2.7169713609467454,142.7140828402367
44,MapRead,4168,4221,171.72,173.84,2.1200000000000045,7.044799999999896,2.776281509433962,141.82339622641513
45,Nothing,4221,4623,173.84,190.92,17.079999999999984,57.879600000000096,2.934768656716418,142.35194029850746
46,MapRead,4623,4671,190.92,192.84,1.920000000000016,5.312400000000025,3.0666500000000005,143.3775
47,Nothing,4671,4688,192.84,193.52,0.6800000000000068,1.8863999999999805,3.049795294117647,144.0
48,MapRead,4688,4720,193.52,194.8,1.2800000000000011,2.7168000000000347,3.0405024999999997,143.7625
49,CheckCD,4720,4726,194.8,195.04,0.23999999999998067,0.43639999999993506,3.033,143.1
50,MapRead,4726,4727,195.04,195.08,0.040000000000020464,0.08839999999997872,3.02864,142.96
51,Nothing,4727,4762,195.08,196.48,1.3999999999999773,3.2524000000000797,2.9724594285714288,142.24000000000004
