,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,MapRead,0,24,0.0,0.96,0.96,0.0,0.0,93.0
1,Nothing,24,82,0.96,3.28,2.32,0.2632,0.0,92.24137931034483
2,MapRead,82,158,3.28,6.32,3.0400000000000005,0.8068000000000001,0.0,92.53315789473685
3,CheckCD,158,180,6.32,7.2,0.8799999999999999,0.0,0.0,90.11272727272727
4,Nothing,180,205,7.2,8.2,0.9999999999999991,0.0,0.0,89.0
5,MapRead,205,260,8.2,10.4,2.200000000000001,0.08400000000000007,0.0,89.73454545454547
6,Nothing,260,285,10.4,11.4,1.0,0.8419999999999999,0.0,89.384
7,MapRead,285,293,11.4,11.72,0.3200000000000003,0.5728,0.0,89.0
8,Nothing,293,430,11.72,17.2,5.479999999999999,11.8312,1.0152963503649635,88.09051094890512
9,MapRead,430,493,17.2,19.72,2.5199999999999996,7.338400000000002,2.5258114285714286,90.73142857142857
10,Nothing,493,551,19.72,22.04,2.3200000000000003,6.989199999999997,2.6821427586206896,96.9055172413793
11,MapRead,551,563,22.04,22.52,0.4800000000000004,1.411200000000001,2.6969999999999996,101.30000000000001
12,Nothing,563,579,22.52,23.16,0.6400000000000006,1.8143999999999991,2.6968500000000004,104.07
13,MapRead,579,662,23.16,26.48,3.3200000000000003,7.976000000000003,2.6794443373493975,109.19951807228912
14,CheckCD,662,667,26.48,26.68,0.1999999999999993,0.5079999999999956,2.64892,112.12
15,Nothing,667,710,26.68,28.4,1.7199999999999989,4.4088000000000065,2.6416027906976747,113.52837209302328
16,MapRead,710,741,28.4,29.64,1.240000000000002,3.631599999999999,2.6410000000000013,115.53548387096774
17,Nothing,741,882,29.64,35.28,5.640000000000001,16.201199999999993,2.6312978723404252,117.77645390070919
18,MapRead,882,903,35.28,36.12,0.8399999999999963,2.512800000000013,2.5940000000000003,118.3542857142857
19,Nothing,903,1028,36.12,41.12,5.0,17.578399999999988,2.5753600000000008,121.36000000000003
20,MapRead,1028,1067,41.12,42.68,1.5600000000000023,2.4208,2.5469999999999997,122.88000000000004
21,Nothing,1067,1091,42.68,43.64,0.9600000000000009,3.26400000000001,2.547,123.94
22,CheckWatch,1091,1100,43.64,44.0,0.35999999999999943,1.1951999999999998,2.547,124.0
23,Nothing,1100,1128,44.0,45.12,1.1199999999999974,3.491199999999992,2.552357142857143,124.5442857142857
24,MapRead,1128,1190,45.12,47.6,2.480000000000004,7.3208000000000055,2.5410129032258055,127.54451612903226
25,Nothing,1190,1237,47.6,49.48,1.8799999999999955,5.206000000000003,2.4766323404255317,128.54553191489356
26,MapRead,1237,1269,49.48,50.76,1.2800000000000011,2.9084000000000003,2.4910900000000002,128.88625000000002
27,Nothing,1269,1311,50.76,52.44,1.6799999999999997,4.655999999999992,2.50672380952381,128.45238095238096
28,MapRead,1311,1392,52.44,55.68,3.240000000000002,9.289600000000007,2.5526814814814807,130.13432098765432
29,Nothing,1392,1506,55.68,60.24,4.560000000000002,9.034800000000004,2.5341719298245615,134.1677192982456
30,MapRead,1506,1566,60.24,62.64,2.3999999999999986,5.087199999999996,2.345506666666667,135.0
31,Nothing,1566,1617,62.64,64.68,2.0400000000000063,3.8392000000000053,2.3039333333333336,135.0
32,MapRead,1617,1680,64.68,67.2,2.519999999999996,4.8627999999999645,2.233107936507937,135.5333333333333
33,Nothing,1680,1758,67.2,70.32,3.1199999999999903,7.937600000000032,2.1850461538461534,136.37846153846158
34,CheckCD,1758,1800,70.32,72.0,1.6800000000000068,4.276399999999995,2.1829999999999994,137.56857142857143
35,Nothing,1800,1942,72.0,77.68,5.680000000000007,12.912399999999991,2.192521126760564,136.60957746478874
36,MapRead,1942,1963,77.68,78.52,0.8399999999999892,1.4391999999999996,2.218177142857143,136.3657142857143
37,Nothing,1963,2068,78.52,82.72,4.200000000000003,6.31280000000001,2.1944685714285717,136.89295238095238
38,MapRead,2068,2084,82.72,83.36,0.6400000000000006,0.6599999999999966,2.19983,135.91
39,Nothing,2084,2127,83.36,85.08,1.7199999999999989,1.6924000000000206,2.4185423255813956,134.8
40,MapRead,2127,2158,85.08,86.32,1.2399999999999949,1.6727999999999668,2.4277922580645166,133.32000000000002
41,Nothing,2158,2306,86.32,92.24,5.920000000000002,6.807200000000023,2.209506216216216,131.9197297297297
42,CheckCD,2306,2314,92.24,92.56,0.3200000000000074,0.3423999999999978,2.0093,131.0
43,Nothing,2314,2335,92.56,93.4,0.8400000000000034,0.8108000000000004,1.9715142857142856,131.17142857142858
44,MapRead,2335,2399,93.4,95.96,2.559999999999988,2.633999999999986,1.85977,130.99
45,Nothing,2399,2562,95.96,102.48,6.52000000000001,10.77600000000001,1.7064618404907974,129.7671165644172
46,MapRead,2562,2578,102.48,103.12,0.6400000000000006,1.295599999999979,1.7659449999999999,129.0075
47,Nothing,2578,2638,103.12,105.52,2.3999999999999915,4.9176000000000215,1.9791853333333331,129.83133333333333
48,MapRead,2638,2661,105.52,106.44,0.9200000000000017,1.783600000000007,2.1447217391304347,130.0
49,Nothing,2661,2670,106.44,106.8,0.35999999999999943,0.7091999999999814,2.2018,130.0
50,CheckWatch,2670,2746,106.8,109.84,3.0400000000000063,6.3019999999999925,2.2649710526315787,130.11052631578946
51,Nothing,2746,2920,109.84,116.8,6.959999999999994,17.568000000000012,2.35872183908046,132.8425287356322
52,MapRead,2920,2936,116.8,117.44,0.6400000000000006,1.769599999999997,2.4973125000000005,134.1375
53,Nothing,2936,3009,117.44,120.36,2.9200000000000017,7.615200000000016,2.5587145205479453,134.98191780821918
54,MapRead,3009,3058,120.36,122.32,1.9599999999999937,5.719599999999986,2.5964326530612247,136.80081632653062
55,Nothing,3058,3150,122.32,126.0,3.680000000000007,10.819600000000008,2.6546243478260876,137.1291304347826
56,MapRead,3150,3171,126.0,126.84,0.8400000000000034,2.469600000000014,2.665,136.0
57,Nothing,3171,3282,126.84,131.28,4.439999999999998,11.33639999999997,2.6841981981981995,136.00756756756758
58,MapRead,3282,3312,131.28,132.48,1.1999999999999886,2.8344000000000165,2.706000000000001,136.86
59,Nothing,3312,3863,132.48,154.52,22.04000000000002,56.410799999999995,2.662811397459165,140.13154264972778
60,MapRead,3863,3952,154.52,158.08,3.5600000000000023,8.009999999999991,2.7597914606741574,144.0894382022472
61,Nothing,3952,4151,158.08,169.04,10.95999999999998,22.96840000000003,2.5229320603015073,144.9543718592965
62,MapRead,4151,4180,169.04,170.2,1.1599999999999966,2.9843999999999937,1.7278068965517241,145.4
63,Nothing,4180,4263,170.2,173.52,3.3200000000000216,10.481200000000001,1.9690467469879516,143.16
64,CheckCD,4263,4265,173.52,173.6,0.07999999999998408,0.2407999999999788,2.4252599999999997,141.45999999999998
65,CheckWatch,4265,4277,173.6,174.08,0.4800000000000182,1.4703999999999837,2.5829333333333335,141.17999999999998
66,CheckCD,4277,4287,174.08,174.48,0.39999999999997726,1.3319999999999936,2.7064999999999997,140.73999999999995
67,Nothing,4287,4394,174.48,178.76,4.280000000000001,13.331200000000024,2.7921308411214953,139.6803738317757
68,MapRead,4394,4492,178.76,182.68,3.920000000000016,11.610000000000014,2.8083404081632652,138.87020408163264
69,Nothing,4492,4860,182.68,197.4,14.719999999999999,39.37039999999996,2.8420093478260875,143.0754347826087
70,MapRead,4860,4924,197.4,199.96,2.5600000000000023,2.6036000000000286,2.8186475,144.2475
71,Nothing,4924,4925,199.96,200.0,0.03999999999999204,0.05639999999999645,2.79076,144.96
72,MapRead,4925,4954,200.0,201.16,1.1599999999999966,1.6856000000000222,2.703307586206896,145.00827586206896
73,Nothing,4954,5119,201.16,207.76,6.599999999999994,17.52199999999999,2.387930909090909,146.09042424242423
