,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,MapRead,0,43,0.0,6.16,6.16,11.8672,1.4205097674418605,100.53767441860467
1,Nothing,43,51,6.16,7.08,0.9199999999999999,1.9684000000000008,2.3417600000000003,101.86
2,MapRead,51,60,7.08,7.8,0.7199999999999998,1.9403999999999986,2.407,102.60000000000001
3,Nothing,60,82,7.8,9.28,1.4799999999999995,4.275600000000001,2.408794545454546,104.45999999999998
4,MapRead,82,83,9.28,9.32,0.040000000000000924,0.14880000000000138,2.42016,105.84
5,Nothing,83,107,9.32,11.12,1.799999999999999,5.701999999999998,2.444955,107.375
6,MapRead,107,108,11.12,11.28,0.16000000000000014,0.45319999999999894,2.47752,109.12
7,Nothing,108,132,11.28,14.28,3.0,8.211199999999998,2.51658,111.01499999999999
8,MapRead,132,133,14.28,14.32,0.040000000000000924,0.0724000000000018,2.538,112.28
9,Nothing,133,157,14.32,15.56,1.2400000000000002,2.1492000000000004,2.535725,112.85000000000001
10,MapRead,157,158,15.56,15.64,0.08000000000000007,0.13119999999999976,2.5198,113.84
11,Nothing,158,182,15.64,18.12,2.4800000000000004,3.8992000000000004,2.481735,115.27
12,MapRead,182,183,18.12,18.28,0.16000000000000014,0.23840000000000572,2.4102799999999998,116.28
13,Nothing,183,207,18.28,22.12,3.84,5.755199999999995,2.3005549999999997,116.85000000000001
14,MapRead,207,208,22.12,22.28,0.16000000000000014,0.24320000000000164,2.20448,117.84
15,Nothing,208,232,22.28,25.84,3.5599999999999987,5.601599999999998,2.1249799999999994,119.27
16,MapRead,232,233,25.84,25.96,0.120000000000001,0.20960000000000178,2.04548,120.28
17,Nothing,233,257,25.96,29.68,3.719999999999999,6.981999999999999,1.975815,120.675
18,MapRead,257,258,29.68,29.92,0.240000000000002,0.4884000000000057,1.96516,120.44
19,Nothing,258,282,29.92,34.84,4.920000000000002,10.25159999999999,2.024165,119.40499999999999
20,MapRead,282,283,34.84,34.96,0.11999999999999744,0.27840000000000487,2.0711999999999997,118.16
21,Nothing,283,307,34.96,37.84,2.8800000000000026,6.558399999999992,2.09817,116.835
22,MapRead,307,308,37.84,37.96,0.11999999999999744,0.26080000000000325,2.09196,116.56
23,Nothing,308,332,37.96,40.28,2.3200000000000003,5.1644000000000005,2.047735,117.455
24,MapRead,332,333,40.28,40.32,0.03999999999999915,0.10439999999999827,2.01716,117.72
25,Nothing,333,357,40.32,42.68,2.3599999999999994,6.299600000000012,2.00904,117.39499999999998
26,MapRead,357,358,42.68,42.92,0.240000000000002,0.6463999999999999,2.0362,118.12
27,Nothing,358,382,42.92,48.68,5.759999999999998,13.657200000000003,2.0954200000000003,120.05
28,MapRead,382,383,48.68,48.92,0.240000000000002,0.38119999999999266,2.08996,121.56
29,Nothing,383,407,48.92,53.84,4.920000000000002,8.583200000000005,2.0069399999999997,122.63
30,MapRead,407,408,53.84,53.96,0.11999999999999744,0.3003999999999962,1.9298,124.12
31,Nothing,408,432,53.96,56.84,2.8800000000000026,6.781199999999998,1.864035,126.085
32,MapRead,432,433,56.84,56.96,0.11999999999999744,0.23919999999999675,1.82368,127.84
33,Nothing,433,457,56.96,60.12,3.1599999999999966,6.272800000000004,1.8141800000000001,129.235
34,MapRead,457,458,60.12,60.28,0.1600000000000037,0.31520000000000437,1.80468,130.0
35,Nothing,458,482,60.28,63.56,3.280000000000001,6.453199999999995,1.796825,130.0
36,MapRead,482,483,63.56,63.64,0.0799999999999983,0.1564000000000192,1.79884,130.0
37,Nothing,483,507,63.64,65.56,1.9200000000000017,3.742399999999975,1.8128399999999998,130.10500000000002
38,MapRead,507,508,65.56,65.64,0.0799999999999983,0.15480000000002292,1.82684,130.84
39,Nothing,508,532,65.64,67.28,1.6400000000000006,3.0039999999999907,1.8398599999999998,132.235
40,MapRead,532,533,67.28,67.32,0.03999999999999204,0.05320000000000391,1.847,133.0
41,Nothing,533,557,67.32,68.56,1.240000000000009,1.761199999999974,1.8466850000000001,133.0
42,MapRead,557,558,68.56,68.64,0.0799999999999983,0.12239999999999895,1.84448,133.0
43,Nothing,558,582,68.64,70.84,2.200000000000003,4.052000000000021,1.837705,132.85999999999999
44,MapRead,582,583,70.84,70.96,0.11999999999999034,0.2815999999999974,1.81728,131.88
45,Nothing,583,607,70.96,74.12,3.160000000000011,7.47799999999998,1.785145,130.02
46,MapRead,607,608,74.12,74.28,0.1599999999999966,0.3843999999999994,1.7822,129.0
47,Nothing,608,632,74.28,77.84,3.5600000000000023,8.122400000000027,1.814385,129.14000000000001
48,MapRead,632,633,77.84,77.96,0.11999999999999034,0.22679999999999723,1.8446799999999999,130.12
49,Nothing,633,657,77.96,81.12,3.160000000000011,5.823999999999984,1.8717,132.085
50,MapRead,657,658,81.12,81.28,0.1599999999999966,0.28119999999998413,1.89284,133.84
51,Nothing,658,682,81.28,84.28,3.0,5.298400000000015,1.9058599999999999,135.165
52,MapRead,682,683,84.28,84.32,0.03999999999999204,0.07400000000001228,1.913,135.44
53,Nothing,683,707,84.32,85.84,1.5200000000000102,1.9551999999999907,1.8989649999999998,134.37
54,MapRead,707,708,85.84,85.96,0.11999999999999034,0.09960000000000946,1.80072,132.88
55,Nothing,708,732,85.96,88.56,2.6000000000000085,2.3315999999999804,1.6018299999999999,131.09
56,MapRead,732,733,88.56,88.64,0.0799999999999983,0.09120000000001482,1.4126,130.56
57,Nothing,733,757,88.64,90.84,2.200000000000003,2.7656000000000063,1.2547,131.385
58,MapRead,757,758,90.84,90.96,0.11999999999999034,0.17359999999999332,1.2144000000000001,131.16
59,Nothing,758,782,90.96,94.12,3.160000000000011,4.0488,1.2620550000000001,129.69500000000002
60,MapRead,782,783,94.12,94.28,0.1599999999999966,0.15680000000000405,0.9806400000000001,128.44
