,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,Nothing,0,233,0.0,9.32,9.32,0.0,0.0,115.34334763948497
1,MapRead,233,570,9.32,22.8,13.48,16.708000000000002,0.8163430267062316,121.78397626112759
2,Nothing,570,729,22.8,29.16,6.359999999999999,15.756800000000002,2.4213169811320756,142.06943396226416
3,MapRead,729,766,29.16,30.64,1.4800000000000004,3.8455999999999904,2.389108108108108,145.75027027027028
4,Nothing,766,826,30.64,33.04,2.3999999999999986,6.1980000000000075,2.2145166666666665,147.48333333333326
5,MapRead,826,835,33.04,33.4,0.35999999999999943,1.0655999999999963,2.2318,149.20000000000002
6,Nothing,835,844,33.4,33.76,0.35999999999999943,1.0656000000000034,2.23504,149.56000000000003
7,MapRead,844,855,33.76,34.2,0.44000000000000483,1.3584000000000032,2.2383127272727275,149.95999999999998
8,Nothing,855,895,34.2,35.8,1.5999999999999943,5.192,2.2443199999999996,150.98
9,MapRead,895,975,35.8,39.0,3.200000000000003,9.559999999999995,2.3231399999999995,152.605
10,Nothing,975,998,39.0,39.92,0.9200000000000017,1.9135999999999953,2.3509999999999995,154.0
11,MapRead,998,1144,39.92,45.76,5.839999999999996,13.197200000000002,2.3080512328767124,156.39041095890408
12,Nothing,1144,1295,45.76,51.8,6.039999999999999,17.425200000000004,2.3245610596026496,159.41721854304635
13,MapRead,1295,1443,51.8,57.72,5.920000000000002,14.426400000000001,2.514363513513514,161.03972972972974
14,Nothing,1443,1983,57.72,79.32,21.599999999999994,48.3364,2.189547111111111,164.36525925925926
15,MapRead,1983,2023,79.32,80.92,1.6000000000000085,3.2335999999999956,2.128839,168.847
16,Nothing,2023,2080,80.92,83.2,2.280000000000001,3.6776000000000124,2.247642105263158,168.7017543859649
17,MapRead,2080,2291,83.2,91.64,8.439999999999998,19.843199999999996,2.383526066350711,164.87109004739338
18,Nothing,2291,2418,91.64,96.72,5.079999999999998,13.060399999999987,2.6607590551181093,164.70330708661416
19,MapRead,2418,2459,96.72,98.36,1.6400000000000006,3.3663999999999987,2.841367804878049,167.00780487804877
20,Nothing,2459,2846,98.36,113.84,15.480000000000004,18.221600000000024,2.1322044444444446,171.36320413436692
21,CheckWatch,2846,2856,113.84,114.24,0.3999999999999915,0.23279999999999745,1.49658,172.0
22,Nothing,2856,2909,114.24,116.36,2.1200000000000045,0.5155999999999779,1.3988256603773586,172.0
23,CheckWatch,2909,2948,116.36,117.92,1.5600000000000023,0.220799999999997,1.2845558974358977,172.0
24,Nothing,2948,2954,117.92,118.16,0.23999999999999488,0.09600000000000364,1.2478,172.0
25,CheckWatch,2954,2966,118.16,118.64,0.480000000000004,0.23040000000000305,1.22188,172.0
26,Nothing,2966,3161,118.64,126.44,7.799999999999997,14.833600000000018,1.1675415384615384,171.8820512820513
27,MapRead,3161,3581,126.44,143.24,16.80000000000001,54.05000000000001,2.7746276190476196,173.29904761904763
28,Nothing,3581,3866,143.24,154.64,11.399999999999977,42.55759999999998,3.2326750877192985,176.98385964912282
29,MapRead,3866,3892,154.64,155.68,1.0400000000000205,2.288400000000024,3.0040384615384617,178.0
30,Nothing,3892,4287,155.68,171.48,15.799999999999983,20.45319999999998,2.198272405063291,177.43037974683546
31,MapRead,4287,4322,171.48,172.88,1.4000000000000057,1.5663999999999874,1.533856,178.264
32,Nothing,4322,4397,172.88,175.88,3.0,7.824000000000012,1.3656938666666667,178.9968
33,MapRead,4397,4526,175.88,181.04,5.159999999999997,8.99879999999996,1.434015503875969,178.70542635658916
34,Nothing,4526,5051,181.04,202.04,21.0,60.08400000000006,2.4205599999999996,178.64380952380952
35,MapRead,5051,5099,202.04,203.96,1.920000000000016,4.281599999999969,2.3664400000000003,179.23
36,Nothing,5099,5172,203.96,206.88,2.9199999999999875,2.446399999999983,2.2747808219178083,179.99945205479452
37,MapRead,5172,5236,206.88,209.44,2.5600000000000023,3.1876000000000317,2.0903762500000003,180.425
38,Nothing,5236,5469,209.44,218.76,9.319999999999993,16.411599999999964,1.7083811158798283,180.97836909871245
39,MapRead,5469,5656,218.76,226.24,7.480000000000018,18.79000000000002,1.897901604278075,181.1381818181818
40,Nothing,5656,5969,226.24,238.76,12.519999999999982,29.984800000000007,2.557237699680511,180.9808306709265
41,MapRead,5969,6041,238.76,241.64,2.8799999999999955,12.37319999999994,2.5968166666666668,179.67777777777778
42,Nothing,6041,6185,241.64,247.4,5.760000000000019,24.077600000000075,3.083866666666667,179.14027777777778
43,MapRead,6185,6412,247.4,256.48,9.080000000000013,27.255199999999945,2.9554114537444938,178.79577092511013
44,Nothing,6412,6550,256.48,262.0,5.519999999999982,24.438800000000015,2.9267826086956523,179.06057971014494
45,MapRead,6550,6721,262.0,268.84,6.839999999999975,23.73440000000005,3.2726233918128655,180.6783625730994
46,Nothing,6721,6936,268.84,277.44,8.600000000000023,17.717599999999948,2.7868660465116286,182.01023255813953
47,MapRead,6936,7024,277.44,280.96,3.519999999999982,7.070799999999963,2.2162804545454544,182.95227272727274
48,Nothing,7024,7207,280.96,288.28,7.319999999999993,20.90000000000009,2.1581777049180326,183.00459016393444
49,MapRead,7207,7258,288.28,290.32,2.0400000000000205,7.838399999999979,2.1221443137254896,183.84392156862742
50,Nothing,7258,7296,290.32,291.84,1.5199999999999818,5.435200000000009,2.15889052631579,183.16105263157894
51,MapRead,7296,7387,291.84,295.48,3.640000000000043,9.048400000000015,2.25113978021978,183.0
52,Nothing,7387,7554,295.48,302.16,6.680000000000007,12.939200000000028,2.404084311377246,182.60479041916167
