,type,start_idx,finish_idx,start_time,finish_time,length_time,length_distance,avg_speed,avg_hr
0,Nothing,0,196,1.0,8.84,7.84,2.62,0.0,89.61836734693878
1,MapRead,196,263,8.84,11.52,2.6799999999999997,4.587599999999999,0.0,90.64597014925374
2,Nothing,263,276,11.52,12.04,0.5199999999999996,1.2392000000000003,0.0,97.03999999999999
3,MapRead,276,342,12.04,14.68,2.6400000000000006,6.3604,0.8775024242424242,103.65636363636365
4,Nothing,342,389,14.68,16.56,1.879999999999999,4.692400000000001,2.2237906382978716,109.77106382978725
5,MapRead,389,536,16.56,22.44,5.880000000000003,13.2868,2.5163651700680276,118.6261224489796
6,Nothing,536,891,22.44,36.64,14.2,18.9296,1.2033673239436617,131.08845070422535
7,MapRead,891,966,36.64,39.64,3.0,6.702399999999997,1.0626879999999999,133.43733333333333
8,Nothing,966,1062,39.64,43.48,3.8399999999999963,7.7860000000000085,1.5667083333333336,135.03625
9,MapRead,1062,1101,43.48,45.04,1.5600000000000023,4.588799999999992,1.922333333333333,136.8133333333333
10,Nothing,1101,1147,45.04,46.88,1.8400000000000034,5.106399999999994,2.2545756521739126,137.0
11,MapRead,1147,1231,46.88,50.24,3.3599999999999994,5.4728000000000065,2.388565714285714,138.32142857142858
12,Nothing,1231,1420,50.24,57.8,7.559999999999995,20.941599999999994,2.2012095238095237,140.56613756613757
13,MapRead,1420,1550,57.8,63.0,5.200000000000003,9.936000000000007,2.3349723076923077,145.24615384615385
14,Nothing,1550,1622,63.0,65.88,2.8799999999999955,4.257999999999996,1.1360000000000001,149.42
15,MapRead,1622,1669,65.88,67.76,1.8800000000000097,3.9883999999999986,0.5021770212765956,151.14042553191493
16,Nothing,1669,1693,67.76,68.72,0.9599999999999937,2.215199999999996,0.89811,151.965
17,MapRead,1693,1757,68.72,71.28,2.5600000000000023,4.299600000000012,1.252478125,152.97125
18,Nothing,1757,2008,71.28,81.32,10.039999999999992,19.25200000000001,1.5693284462151393,154.2777689243028
19,MapRead,2008,2098,81.32,84.92,3.6000000000000085,5.477599999999967,1.610423555555556,153.2902222222222
20,Nothing,2098,3053,84.92,123.12,38.2,52.66560000000001,1.0620373193717276,148.7591623036649
21,MapRead,3053,3216,123.12,129.64,6.519999999999982,4.587600000000009,0.607799018404908,138.9558282208589
22,Nothing,3216,4474,129.64,179.96,50.32000000000002,77.7904,1.6588807631160574,149.1814308426073
23,MapRead,4474,4531,179.96,182.24,2.280000000000001,5.5548,2.9202771929824562,155.32561403508774
24,Nothing,4531,4687,182.24,188.48,6.239999999999981,17.616800000000012,2.7784989743589743,156.44717948717948
25,MapRead,4687,4877,188.48,196.08,7.600000000000023,19.450800000000015,2.6178597894736844,157.8823157894737
26,Nothing,4877,4883,196.08,196.32,0.23999999999998067,0.7103999999999928,2.753,158.0
27,MapRead,4883,5073,196.32,203.92,7.599999999999994,12.923200000000008,1.7713157894736842,156.44484210526315
28,Nothing,5073,5284,203.92,212.36,8.440000000000026,26.15319999999997,2.507564739336493,149.8242654028436
29,MapRead,5284,5318,212.36,213.72,1.3599999999999852,2.1111999999999966,2.41806,151.83999999999997
30,Nothing,5318,5367,213.72,215.68,1.960000000000008,3.4248000000000047,1.6262595918367346,151.5191836734694
31,MapRead,5367,5430,215.68,218.2,2.519999999999982,5.366399999999999,1.7093187301587303,151.7073015873016
32,Nothing,5430,5645,218.2,226.8,8.600000000000023,18.696000000000026,2.3270046511627904,151.72744186046512
33,MapRead,5645,5725,226.8,230.0,3.1999999999999886,3.8179999999999836,2.4833125,151.245
34,Nothing,5725,5973,230.0,239.92,9.919999999999987,16.402399999999943,2.2562606451612903,150.0690322580645
35,MapRead,5973,6029,239.92,242.16,2.240000000000009,0.8180000000000405,1.8396928571428572,152.26142857142855
36,Nothing,6029,6210,242.16,249.4,7.240000000000009,11.751599999999996,1.5710970165745857,150.2654143646409
37,MapRead,6210,6267,249.4,251.68,2.280000000000001,3.1736000000000217,1.469982456140351,149.82035087719302
38,Nothing,6267,6338,251.68,254.52,2.8400000000000034,6.300399999999968,1.581971267605634,149.46028169014076
39,MapRead,6338,6370,254.52,255.8,1.2800000000000011,5.720000000000027,2.09612,150.5675
40,Nothing,6370,6502,255.8,261.08,5.279999999999973,13.494399999999985,2.9433745454545455,150.00484848484848
41,MapRead,6502,6686,261.08,268.44,7.360000000000014,7.204400000000021,0.6985128260869565,150.01065217391303
42,Nothing,6686,7090,268.44,284.6,16.160000000000025,33.44919999999996,2.216218316831683,148.3490099009901
43,MapRead,7090,7433,284.6,298.32,13.71999999999997,12.646400000000085,0.6051826239067055,152.61259475218657
44,Nothing,7433,8101,298.32,325.04,26.720000000000027,41.80559999999991,1.6122987425149702,158.0282634730539
45,MapRead,8101,8144,325.04,326.76,1.7199999999999704,1.373199999999997,0.5885972093023255,163.15906976744188
46,CheckCD,8144,8162,326.76,327.48,0.7200000000000273,0.3288000000000011,0.7044533333333334,164.10000000000002
47,Nothing,8162,8374,327.48,335.96,8.479999999999961,13.461999999999989,1.5994018867924527,165.50641509433962
48,MapRead,8374,8528,335.96,342.12,6.160000000000025,1.8332000000000335,1.0402335064935064,167.78571428571428
49,Nothing,8528,9026,342.12,362.04,19.920000000000016,47.97280000000001,1.71904016064257,161.7289156626506
50,MapRead,9026,9081,362.04,364.24,2.1999999999999886,5.662000000000035,3.0218836363636363,161.66181818181815
51,Nothing,9081,9380,364.24,376.2,11.95999999999998,47.517999999999915,4.220121070234114,158.1478260869565
52,MapRead,9380,9428,376.2,378.12,1.920000000000016,7.0756000000000085,4.1973325,151.48749999999998
53,Nothing,9428,9731,378.12,390.24,12.120000000000005,34.78520000000003,3.7657024422442245,151.60660066006602
54,MapRead,9731,9784,390.24,392.36,2.1200000000000045,6.294399999999996,3.3953177358490563,150.05207547169815
55,Nothing,9784,9968,392.36,399.72,7.360000000000014,15.731600000000071,3.109821956521739,149.62804347826088
56,MapRead,9968,10066,399.72,403.64,3.919999999999959,9.257200000000012,2.802819591836735,148.4457142857143
57,Nothing,10066,10459,403.64,419.36,15.720000000000027,45.71199999999999,2.6411172519083967,152.66066157760815
58,MapRead,10459,10598,419.36,424.92,5.560000000000002,10.937599999999975,2.1200964028776976,159.50043165467625
59,Nothing,10598,11026,424.92,442.04,17.120000000000005,42.91160000000002,2.2667371962616825,161.07943925233644
60,MapRead,11026,11084,442.04,444.36,2.319999999999993,6.193599999999947,2.8037586206896545,162.82
61,Nothing,11084,11367,444.36,455.68,11.319999999999993,22.610400000000027,3.2359681978798585,159.2791519434629
62,MapRead,11367,11491,455.68,460.64,4.9599999999999795,3.7411999999999352,2.5062854838709674,155.0374193548387
63,Nothing,11491,11544,460.64,462.76,2.1200000000000045,4.750400000000013,1.9813615094339616,151.03396226415094
64,MapRead,11544,11634,462.76,466.36,3.6000000000000227,11.192800000000034,2.332233777777778,151.45066666666665
65,Nothing,11634,12051,466.36,483.04,16.680000000000007,53.1336,3.049765947242206,154.11616306954437
66,MapRead,12051,12122,483.04,485.88,2.839999999999975,8.039600000000064,3.127351549295775,156.95774647887325
67,Nothing,12122,12614,485.88,505.56,19.680000000000007,52.41439999999989,2.7946159349593493,157.99666666666667
68,MapRead,12614,12717,505.56,509.68,4.1200000000000045,11.407199999999989,2.4114450485436887,158.4485436893204
69,Nothing,12717,13010,509.68,521.4,11.71999999999997,24.839600000000132,2.1705165870307166,159.65337883959046
70,CheckCD,13010,13015,521.4,521.6,0.20000000000004547,0.5519999999999072,2.36532,165.0
71,MapRead,13015,13054,521.6,523.16,1.5599999999999454,3.4056000000000495,2.3350307692307695,164.59589743589743
72,Nothing,13054,13467,523.16,539.68,16.519999999999982,35.315200000000004,2.2108289588377725,165.42421307506052
73,MapRead,13467,13663,539.68,547.52,7.840000000000032,6.3887999999999465,1.7602295918367348,162.65591836734694
74,Nothing,13663,13739,547.52,550.56,3.0399999999999636,2.6240000000000236,1.1620084210526316,158.37684210526314
75,MapRead,13739,13891,550.56,556.64,6.080000000000041,4.29079999999999,0.3935118421052632,159.66026315789475
76,Nothing,13891,14319,556.64,573.76,17.120000000000005,19.779600000000073,0.583042429906542,160.1892523364486
77,MapRead,14319,14391,573.76,576.64,2.8799999999999955,2.8412000000000717,0.8782783333333332,161.66944444444445
78,Nothing,14391,14861,576.64,595.44,18.800000000000068,26.3299999999997,1.5061770212765957,162.6485106382979
79,CheckCD,14861,14897,595.44,596.88,1.4399999999999409,3.12480000000005,1.1821933333333332,161.7433333333333
80,Nothing,14897,14907,596.88,597.28,0.39999999999997726,0.8428000000001248,1.3044319999999998,161.024
81,MapRead,14907,14995,597.28,600.8,3.519999999999982,3.7911999999998898,1.4083127272727274,161.56136363636367
82,Nothing,14995,15139,600.8,606.56,5.759999999999991,3.7200000000000273,0.7524583333333332,160.83749999999998
83,MapRead,15139,15311,606.56,613.44,6.880000000000109,2.7168000000001484,0.4284290697674419,163.57558139534885
84,Nothing,15311,15489,613.44,620.56,7.119999999999891,21.418399999999792,2.257481797752809,164.7191011235955
